Pāli1	count
sadda	488.0
yadi	484.0
uddāna	482.0
ubha	481.0
parisuddha	481.0
khattiya	479.0
pahātabba	478.0
eti	477.0
pāpa	477.0
pariyāya	476.0
ayyā	476.0
āyatiṃ	475.0
bhoga	474.0
bhaṇati	469.0
gāma	468.0
phassa	467.0
ñāṇa	467.0
apara	464.0
aṭṭhama	464.0
nappajānāti	462.0
bāla	462.0
vassa	462.0
paññatta	461.0
nissaggiya	460.0
dāni	458.0
viditvā	454.0
nissaraṇa	453.0
sabbaso	450.0
virāga	449.0
piṇḍa	448.0
bahiddhā	447.0
paṭipanna	444.0
sikkhā	443.0
maha	440.0
pajahati	440.0
rasa	437.0
moha	437.0
nicca	436.0
dasama	436.0
sikkhati	436.0
viññū	431.0
jivhā	431.0
samādapeti	430.0
khiyyati	428.0
koci	427.0
nibbindati	423.0
paṇīta	420.0
saraṇa	416.0
pathavī	413.0
ujjhāyati	412.0
vipāceti	410.0
mātar	410.0
addasā	410.0
nirujjhati	406.0
karitvā	406.0
navama	405.0
vitthārena	401.0
amu	400.0
pitar	399.0
bala	398.0
jana	396.0
uddisati	394.0
hita	394.0
bhaginī	392.0
bhojana	392.0
abhikkanta	391.0
vimutta	391.0
vipāka	388.0
hīna	388.0
sugati	388.0
sabrahmacārī	388.0
vematika	388.0
paccassosi	385.0
saṃkhitta	385.0
vacana	383.0
satimant	380.0
uṭṭhāya	379.0
mārisa	377.0
gandha	375.0
samudaya	374.0
duggati	374.0
itthatta	373.0
abhabba	373.0
accaya	373.0
pasāda	371.0
bhaya	371.0
parikkhaya	370.0
pāṭikaṅkha	368.0
abhiññāya	366.0
appamatta	366.0
kathā	365.0
indriya	362.0
phala	361.0
ārocesi	357.0
vīriya	357.0
anussarati	356.0
bhaṇanta	354.0
dissati	354.0
sameti	351.0
kukkucca	351.0
lābha	351.0
sambahula	350.0
karonta	350.0
pāpimant	349.0
kacci	345.0
upapanna	344.0
yadā	343.0
sota	341.0
desita	341.0
upasampanna	341.0
dakkhiṇa	338.0
anatta	338.0
acchariya	338.0
upasampanna	338.0
vijjā	338.0
sarīra	336.0
aṅga	336.0
aggi	335.0
appasanna	335.0
nadī	335.0
ve	334.0
anuppanna	333.0
kumāra	331.0
paṭisaṃvedeti	331.0
ito	329.0
bhūta	329.0
vattha	327.0
sata	327.0
sāraṇīya	325.0
abbhuta	322.0
lābhī	321.0
garu	320.0
garu	320.0
gahetvā	320.0
tāta	318.0
sevitabba	318.0
pahīyati	318.0
veramaṇī	317.0
appiccha	317.0
assāda	316.0
kālena	316.0
addasa	315.0
senāsana	314.0
tāva	314.0
upeti	312.0
samma	312.0
uppāda	311.0
aññatitthiya	310.0
pabbajati	310.0
dadāti	309.0
ettāvatā	308.0
nikkhitta	306.0
nissāya	306.0
brūti	306.0
āhari	306.0
saṃkhittena	305.0
jāta	305.0
musā	304.0
agga	303.0
tu	302.0
disvāna	300.0
sahabyatā	299.0
sikkhitabba	298.0
channa	298.0
pajā	297.0
yakkha	296.0
tāya	296.0
phoṭṭhabba	295.0
vinipāta	295.0
iha	294.0
vinaya	293.0
vasa	292.0
ākaṅkhati	291.0
pabbata	290.0
jāyati	290.0
vineyya	290.0
bhatta	289.0
gacchanta	288.0
paṭiggaṇhāti	288.0
icchati	287.0
apāya	286.0
tādisa	286.0
kappeti	284.0
niccaṃ	284.0
