"Pāli1"	"POS"	"Grammar"	"Pāli Root"	"Pattern"	"count"	"found"
"pana"	"ind"	"pure"	""	""	"7839"	"{'pana': 7839}"
"me"	"pron"	""	""	"ahaṃ pron"	"6990"	""
"ahaṃ"	"pron"	""	""	"ahaṃ pron"	"6575"	"{'me': 6990, 'no': 4209, 'ahaṃ': 6575, 'maṃ': 1919, 'mayaṃ': 1392, 'mayā': 961, 'mama': 921, 'mayhaṃ': 837, 'amhākaṃ': 387, 'mamaṃ': 163, 'mayi': 88, 'amhe': 75, 'amhehi': 46, 'mayha': 31, 'amhaṃ': 16, 'amhesu': 12, 'asmākaṃ': 4}"
"sī"	"abbrev"	""	""	""	"6267"	"{'sī': 6267}"
"atha"	"ind"	"pure"	""	""	"5993"	"{'atha': 5993}"
"viharati"	"pr"	""	"√har 1 (live)"	"ati pr"	"5581"	"{'viharati': 3758, 'viharanti': 450, 'viharāmi': 443, 'vihareyya': 146, 'viharantaṃ': 83, 'viharatha': 114, 'vihareyyaṃ': 172, 'viharataṃ': 38, 'viharāma': 35, 'viharāhi': 36, 'viharissanti': 40, 'viharissati': 39, 'viharissāmi': 43, 'viharasi': 26, 'viharante': 24, 'vihareyyuṃ': 28, 'viharissāma': 40, 'viharemu': 8, 'vihareyyāsi': 7, 'viharissasi': 6, 'viharissatha': 25, 'viharatu': 4, 'vihara': 4, 'vihareyyātha': 4, 'viharissaṃ': 3, 'vihare': 2, 'vihareyyāma': 1, 'viharassu': 1, 'viharemase': 1}"
"syā"	"abbrev"	""	""	""	"5361"	"{'syā': 5361}"
"hi"	"ind"	"pure"	""	""	"5225"	"{'hi': 5225}"
"pī"	"abbrev"	""	""	""	"5207"	"{'pī': 5207}"
"āvuso"	"ind"	""	""	""	"5035"	"{'āvuso': 5035}"
"āyasmant"	"masc"	""	"√i 1 (come, go)"	"ant masc"	"4865"	"{'āyasmā': 2667, 'āyasmantaṃ': 992, 'āyasmato': 689, 'āyasmatā': 207, 'āyasmanto': 196, 'āyasmantānaṃ': 61, 'āyasmante': 43, 'āyasmantā': 5, 'āyasmantesu': 5}"
"ka"	"abbrev"	""	""	""	"4288"	"{'ka': 4288}"
"no"	"pron"	""	""	"ahaṃ pron"	"4209"	""
"no"	"ind"	"neg"	""	""	"4209"	"{'no': 4209}"
"para"	"pron"	""	""	"a pron"	"4161"	"{'paraṃ': 3282, 'pare': 240, 'paresaṃ': 185, 'paro': 164, 'parassa': 129, 'parehi': 71, 'parato': 38, 'paramhi': 21, 'parasmiṃ': 6, 'paramhā': 2, 'parasmā': 2, 'parā': 4, 'paresu': 1, 'para': 16}"
"brāhmaṇa"	"masc"	""	"√brah 1 (increase)"	"a masc"	"4151"	"{'brāhmaṇa': 1277, 'brāhmaṇo': 1188, 'brāhmaṇā': 682, 'brāhmaṇaṃ': 334, 'brāhmaṇassa': 248, 'brāhmaṇānaṃ': 144, 'brāhmaṇe': 87, 'brāhmaṇena': 71, 'brāhmaṇesu': 60, 'brāhmaṇehi': 59, 'brāhmaṇebhi': 1}"
