Pāli1	POS	Pattern	class	count
dhamma	masc	a masc	1	12531.0
brāhmaṇa	masc	a masc	1	4151.0
samaya	masc	a masc	1	3913.0
loka	masc	a masc	1	3778.0
ānanda	masc	a masc	1	3447.0
kāya	masc	a masc	1	3281.0
gotama	masc	a masc	1	2818.0
attha	masc	a masc	1	2769.0
satta	masc	a masc	1	2714.0
samaṇa	masc	a masc	1	2218.0
purisa	masc	a masc	1	2155.0
deva	masc	a masc	1	2138.0
puggala	masc	a masc	1	1980.0
sāriputta	masc	a masc	1	1836.0
buddha	masc	a masc	1	1517.0
saṅgha	masc	a masc	1	1396.0
magga	masc	a masc	1	1356.0
ariya	masc	a masc	1	1351.0
bhava	masc	a masc	1	1156.0
kāma	masc	a masc	1	1117.0
bheda	masc	a masc	1	1076.0
saṅkhāra	masc	a masc	1	1013.0
kāla	masc	a masc	1	1004.0
āsava	masc	a masc	1	959.0
manussa	masc	a masc	1	894.0
vaṇṇa	masc	a masc	1	812.0
sāvaka	masc	a masc	1	803.0
sakka	masc	a masc	1	793.0
niraya	masc	a masc	1	780.0
ārāma	masc	a masc	1	745.0
thera	masc	a masc	1	722.0
putta	masc	a masc	1	716.0
paribbājaka	masc	a masc	1	704.0
ayya	masc	a masc	1	678.0
paṇḍita	masc	a masc	1	654.0
ādīnava	masc	a masc	1	642.0
upāsaka	masc	a masc	1	632.0
nirodha	masc	a masc	1	604.0
chanda	masc	a masc	1	595.0
paccaya	masc	a masc	1	579.0
rāga	masc	a masc	1	578.0
māṇava	masc	a masc	1	571.0
kassapa	masc	a masc	1	566.0
vihāra	masc	a masc	1	543.0
patta	masc	a masc	1	534.0
dosa	masc	a masc	1	524.0
khaya	masc	a masc	1	514.0
pañha	masc	a masc	1	512.0
nāga	masc	a masc	1	505.0
māra	masc	a masc	1	502.0
sagga	masc	a masc	1	489.0
pāda	masc	a masc	1	488.0
sadda	masc	a masc	1	488.0
sugata	masc	a masc	1	483.0
khattiya	masc	a masc	1	479.0
pariyāya	masc	a masc	1	476.0
bhoga	masc	a masc	1	474.0
gāma	masc	a masc	1	468.0
phassa	masc	a masc	1	467.0
bāla	masc	a masc	1	462.0
virāga	masc	a masc	1	449.0
piṇḍa	masc	a masc	1	448.0
rasa	masc	a masc	1	437.0
moha	masc	a masc	1	437.0
kosala	masc	a masc	1	435.0
anuruddha	masc	a masc	1	424.0
jana	masc	a masc	1	396.0
vipāka	masc	a masc	1	388.0
mārisa	masc	a masc	1	377.0
gandha	masc	a masc	1	375.0
samudaya	masc	a masc	1	374.0
accaya	masc	a masc	1	373.0
parikkhaya	masc	a masc	1	370.0
lābha	masc	a masc	1	351.0
upasampanna	masc	a masc	1	338.0
kumāra	masc	a masc	1	331.0
tāta	masc	a masc	1	318.0
assāda	masc	a masc	1	316.0
cunda	masc	a masc	1	314.0
nigaṇṭha	masc	a masc	1	313.0
uppāda	masc	a masc	1	311.0
vāseṭṭha	masc	a masc	1	300.0
moggallāna	masc	a masc	1	298.0
yakkha	masc	a masc	1	296.0
vinipāta	masc	a masc	1	295.0
vinaya	masc	a masc	1	293.0
vasa	masc	a masc	1	292.0
pabbata	masc	a masc	1	290.0
apāya	masc	a masc	1	286.0
nara	masc	a masc	1	273.0
upakkilesa	masc	a masc	1	269.0
bhāradvāja	masc	a masc	1	269.0
pāṇa	masc	a masc	1	265.0
āhāra	masc	a masc	1	260.0
puthujjana	masc	a masc	1	255.0
hattha	masc	a masc	1	254.0
rāhula	masc	a masc	1	249.0
anta	masc	a masc	1	239.0
rukkha	masc	a masc	1	239.0
vaccha	masc	a masc	1	223.0
uddesa	masc	a masc	1	222.0
thullaccaya	masc	a masc	1	222.0
nigama	masc	a masc	1	219.0
saṃvara	masc	a masc	1	214.0
adhigama	masc	a masc	1	214.0
vāda	masc	a masc	1	214.0
vimokkha	masc	a masc	1	210.0
sīha	masc	a masc	1	209.0
mitta	masc	a masc	1	207.0
vūpasama	masc	a masc	1	206.0
piṇḍapāta	masc	a masc	1	204.0
ābādha	masc	a masc	1	200.0
nanda	masc	a masc	1	200.0
divasa	masc	a masc	1	199.0
māsa	masc	a masc	1	198.0
puṇṇa	masc	a masc	1	197.0
vāta	masc	a masc	1	192.0
dhīra	masc	a masc	1	192.0
ummattaka	masc	a masc	1	191.0
pātubhāva	masc	a masc	1	185.0
sambodha	masc	a masc	1	185.0
āraññika	masc	a masc	1	184.0
yoga	masc	a masc	1	184.0
ākāsa	masc	a masc	1	183.0
pallaṅka	masc	a masc	1	183.0
kaccāna	masc	a masc	1	182.0
pamāda	masc	a masc	1	179.0
byāpāda	masc	a masc	1	178.0
vassa	masc	a masc	1	178.0
sāmika	masc	a masc	1	176.0
nīvaraṇa	masc	a masc	1	174.0
cora	masc	a masc	1	174.0
ambaṭṭha	masc	a masc	1	172.0
ānisaṃsa	masc	a masc	1	172.0
gaṇa	masc	a masc	1	171.0
vitakka	masc	a masc	1	171.0
yañña	masc	a masc	1	167.0
sekha	masc	a masc	1	161.0
cāga	masc	a masc	1	159.0
sunakkhatta	masc	a masc	1	158.0
nigrodha	masc	a masc	1	157.0
danta	masc	a masc	1	156.0
paṭinissagga	masc	a masc	1	152.0
uposatha	masc	a masc	1	152.0
samatikkama	masc	a masc	1	151.0
vagga	masc	a masc	1	151.0
kodha	masc	a masc	1	149.0
sena	masc	a masc	1	143.0
bhiyyobhāva	masc	a masc	1	142.0
rādha	masc	a masc	1	141.0
rājañña	masc	a masc	1	140.0
soka	masc	a masc	1	137.0
yāma	masc	a masc	1	136.0
upasama	masc	a masc	1	134.0
kālāma	masc	a masc	1	132.0
khandha	masc	a masc	1	132.0
asura	masc	a masc	1	131.0
sāra	masc	a masc	1	131.0
samudda	masc	a masc	1	128.0
