Pāli1	POS	Pattern	class	count
potthaka	masc	a masc	1	127.0
daṇḍa	masc	a masc	1	127.0
ratha	masc	a masc	1	120.0
sela	masc	a masc	1	118.0
sara	masc	a masc	1	118.0
āgama	masc	a masc	1	117.0
miga	masc	a masc	1	115.0
pāsāda	masc	a masc	1	114.0
salla	masc	a masc	1	112.0
dūta	masc	a masc	1	111.0
khema	masc	a masc	1	110.0
sakuṇa	masc	a masc	1	110.0
sudda	masc	a masc	1	109.0
āloka	masc	a masc	1	109.0
ñāya	masc	a masc	1	107.0
posa	masc	a masc	1	107.0
lobha	masc	a masc	1	106.0
dāyaka	masc	a masc	1	106.0
māna	masc	a masc	1	105.0
parikkhāra	masc	a masc	1	104.0
codaka	masc	a masc	1	103.0
roga	masc	a masc	1	102.0
obhāsa	masc	a masc	1	102.0
visesa	masc	a masc	1	101.0
dāsa	masc	a masc	1	101.0
ñātaka	masc	a masc	1	101.0
soṇa	masc	a masc	1	100.0
maccha	masc	a masc	1	100.0
