Pāli1	POS	Pattern	class	count
viharati	pr	ati pr	2	5581.0
karoti	pr	karoti pr	2	2597.0
pajānāti	pr	āti pr	2	2534.0
vadati	pr	ati pr	2	2432.0
gacchati	pr	ati pr	2	2118.0
passati	pr	ati pr	2	1869.0
uppajjati	pr	ati pr	2	1820.0
jānāti	pr	āti pr	2	1776.0
maññati	pr	ati pr	2	1527.0
saṃvattati	pr	ati pr	2	1107.0
upapajjati	pr	ati pr	2	922.0
carati	pr	ati pr	2	887.0
deti	pr	eti pr	2	849.0
bhāsati	pr	ati pr	2	833.0
labhati	pr	ati pr	2	768.0
tiṭṭhati	pr	ati pr	2	745.0
suṇāti	pr	āti pr	2	739.0
dhāreti	pr	eti pr	2	737.0
samanupassati	pr	ati pr	2	617.0
āgacchati	pr	ati pr	2	613.0
pucchati	pr	ati pr	2	575.0
āpajjati	pr	ati pr	2	575.0
bhuñjati	pr	ati pr	2	542.0
byākaroti	pr	oti pr	2	535.0
bhaṇati	pr	ati pr	2	469.0
pajahati	pr	ati pr	2	440.0
sikkhati	pr	ati pr	2	436.0
nibbindati	pr	ati pr	2	423.0
ujjhāyati	pr	ati pr	2	412.0
uddisati	pr	ati pr	2	394.0
anussarati	pr	ati pr	2	356.0
paṭisaṃvedeti	pr	eti pr	2	331.0
upeti	pr	eti pr	2	312.0
pabbajati	pr	ati pr	2	310.0
dadāti	pr	āti pr	2	309.0
ākaṅkhati	pr	ati pr	2	291.0
paṭiggaṇhāti	pr	āti pr	2	288.0
icchati	pr	ati pr	2	287.0
ājānāti	pr	āti pr	2	282.0
saṃsandati	pr	ati pr	2	276.0
parihāyati	pr	ati pr	2	270.0
ceteti	pr	eti pr	2	253.0
vāyamati	pr	ati pr	2	241.0
pakkamati	pr	ati pr	2	237.0
pariyesati	pr	ati pr	2	233.0
paribhuñjati	pr	ati pr	2	232.0
paṭijānāti	pr	āti pr	2	232.0
chindati	pr	ati pr	2	230.0
nisīdati	pr	ati pr	2	229.0
gaṇhāti	pr	āti pr	2	225.0
vasati	pr	ati pr	2	223.0
khādati	pr	ati pr	2	221.0
paṭisañcikkhati	pr	ati pr	2	218.0
ācikkhati	pr	ati pr	2	216.0
āmasati	pr	ati pr	2	212.0
vaḍḍhati	pr	ati pr	2	204.0
sañjānāti	pr	āti pr	2	196.0
jhāyati	pr	ati pr	2	196.0
ārabhati	pr	ati pr	2	194.0
upasaṅkamati	pr	ati pr	2	192.0
abhivaḍḍhati	pr	ati pr	2	192.0
khamati	pr	ati pr	2	191.0
paṭipajjati	pr	ati pr	2	190.0
rakkhati	pr	ati pr	2	190.0
socati	pr	ati pr	2	185.0
vedayati	pr	ati pr	2	183.0
vattati	pr	ati pr	2	182.0
anujānāti	pr	āti pr	2	182.0
jīvati	pr	ati pr	2	181.0
assasati	pr	ati pr	2	180.0
paṭibhāti	pr	āti pr	2	179.0
santiṭṭhati	pr	ati pr	2	175.0
passasati	pr	ati pr	2	173.0
pavisati	pr	ati pr	2	172.0
nandati	pr	ati pr	2	165.0
sakkoti	pr	oti pr	2	163.0
ajjhāvasati	pr	ati pr	2	159.0
pasavati	pr	ati pr	2	157.0
vedeti	pr	eti pr	2	154.0
namati	pr	ati pr	2	153.0
vandati	pr	ati pr	2	153.0
samudācarati	pr	ati pr	2	151.0
akkhāti	pr	āti pr	2	149.0
pasīdati	pr	ati pr	2	149.0
paṭinissajjati	pr	ati pr	2	149.0
arahati	pr	ati pr	2	149.0
vivarati	pr	ati pr	2	148.0
seti	pr	eti pr	2	140.0
samāpajjati	pr	ati pr	2	136.0
harati	pr	ati pr	2	135.0
vijānāti	pr	āti pr	2	135.0
phusati	pr	ati pr	2	134.0
jahāti	pr	āti pr	2	132.0
bandhati	pr	ati pr	2	130.0
upakkamati	pr	ati pr	2	129.0
abhinandati	pr	ati pr	2	128.0
pāpuṇāti	pr	āti pr	2	128.0
sarati	pr	ati pr	2	127.0
nigacchati	pr	ati pr	2	126.0
pariharati	pr	ati pr	2	126.0
bhajati	pr	ati pr	2	126.0
upādiyati	pr	ati pr	2	126.0
gaṇhati	pr	ati pr	2	125.0
padahati	pr	ati pr	2	124.0
upasaṃharati	pr	ati pr	2	122.0
abhivadati	pr	ati pr	2	121.0
pūjeti	pr	eti pr	2	120.0
āgameti	pr	eti pr	2	120.0
jahati	pr	ati pr	2	117.0
pakkhandati	pr	ati pr	2	116.0
ovadati	pr	ati pr	2	115.0
yācati	pr	ati pr	2	115.0
paṭisevati	pr	ati pr	2	115.0
paggaṇhāti	pr	āti pr	2	112.0
suṇoti	pr	oti pr	2	110.0
āyāti	pr	āti pr	2	109.0
vambheti	pr	eti pr	2	106.0
abhijānāti	pr	āti pr	2	106.0
namassati	pr	ati pr	2	106.0
adhigacchati	pr	ati pr	2	105.0
sambhavati	pr	ati pr	2	105.0
saṇṭhāti	pr	āti pr	2	104.0
āharati	pr	ati pr	2	101.0
kappati	pr	ati pr	2	100.0
voropeti	pr	eti pr	2	99.0
anusāsati	pr	ati pr	2	99.0
sevati	pr	ati pr	2	99.0
