evametaṃ	387
etadavocuṃ	386
thero	384
samaṇā	384
dassanāya	381
kusalā	381
ātāpī	381
nibbindati	380
saraṇaṃ	379
jāti	377
koci	376
bhavanti	376
pañcannaṃ	375
ujjhāyanti	375
bhavissanti	373
vipācenti	373
ariyaṃ	373
dāni	372
katamāni	372
khiyyanti	371
lokasmiṃ	371
sammādiṭṭhi	370
navamaṃ	369
saggaṃ	368
samannāgatā	367
puṭṭho	367
viharāmi	367
kāye	366
abhiññāya	366
viharato	365
tisso	365
hitāya	364
kāyo	363
uṭṭhāyāsanā	363
vedanāya	361
ahesuṃ	360
bhanteti	360
nissaggiyaṃ	359
bhonto	358
deti	355
kusalesu	354
karaṇīyaṃ	352
chando	351
maññati	351
satimā	350
sa	350
evamāha	349
bhāsati	349
asati	348
dvinnaṃ	347
maraṇāti	347
bahulīkatā	346
samādapeti	346
tiṭṭhati	345
paṭipanno	345
sugatiṃ	343
saṅgho	343
bhavissatīti	343
kukkuccaṃ	342
ariyo	341
dīgharattaṃ	341
ñāṇaṃ	340
tassā	339
kacci	339
paṇḍito	338
jātiyo	336
saṅghe	336
aniccā	336
saṅghādisesassa	335
sikkhati	334
ve	334
sukhāya	334
vācaṃ	333
ṭhito	332
bhikkhūti	332
uppannaṃ	331
paññapenti	331
pāpakā	330
āpajjati	329
vuttā	329
vīriyaṃ	328
dhammavinaye	328
tīhi	328
gotamaṃ	327
brāhmaṇaṃ	327
vaṇṇaṃ	326
chabbaggiyā	325
saṅghassa	325
pārājikassa	323
ito	322
yadā	322
karonti	321
gahetvā	320
amhākaṃ	319
tenupasaṅkamiṃsu	319
aṭṭhaṅgikaṃ	319
panāvuso	318
cittassa	317
ādāya	316
rattiyā	315
duggatiṃ	314
kālena	314
abhabbo	313
pabbajito	312
evamassa	312
samma	309
tīṇi	309
katamañca	308
citte	307
āsavā	307
nissāya	306
cittanti	306
samādhismiṃ	305
rāgo	304
sattānaṃ	303
pāṇātipātā	302
saṃkhittena	301
dasa	299
disvāna	299
yampi	298
āsane	296
jānāmi	296
pañhaṃ	296
pasādāya	295
appasannānaṃ	294
sakko	294
passāmi	293
yenāyasmā	293
tasmātiha	293
suṇātha	292
musā	291
atthāya	290
uppajjanti	290
vineyya	290
adukkhamasukhaṃ	289
attano	288
evamāhaṃsu	287
khvāhaṃ	287
vinipātaṃ	286
yāni	286
cassa	285
idamavoca	285
dukkhassa	284
tāta	284
vassāni	284
parañca	284
evañhi	284
yaṃnūnāhaṃ	283
ete	282
samanupassati	282
niccaṃ	282
apāyaṃ	281
nāparaṃ	281
bhikkhuniyā	281
itthattāyāti	280
carati	280
mahānāma	280
mano	279
bhoto	279
sāvakā	277
kusalaṃ	277
yañca	277
purisassa	276
kassapa	276
arahato	275
devamanussānaṃ	274
nisinnaṃ	274
evampi	273
brahmā	273
rājagahe	272
tiṇṇaṃ	272
gāmaṇi	272
passato	271
vigarahi	270
mārisa	270
khayā	269
nappajānāti	268
māro	268
cakkhunā	267
pubbaṇhasamayaṃ	267
passaṃ	267
ubho	266
atthe	266
sahabyataṃ	266
vematiko	265
vijjā	264
gantvā	264
pahātabbo	264
sāraṇīyaṃ	263
lokassa	263
anekavihitaṃ	263
sādhukaṃ	263
appicchā	262
pāde	261
dutiyampi	258
ahu	258
cetovimuttiṃ	257
diṭṭhi	257
moggallāna	256
paccassosuṃ	256
aggivessana	256
vītisāretvā	255
pattacīvaramādāya	255
sambahulā	255
sammodanīyaṃ	254
kathāya	254
lābhī	254
idhekacco	254
gotamassa	254
abhikkantaṃ	253
nivāsetvā	253
dutiyo	253
aññe	253
