Pāli1	POS	Pattern	count
eti	pr	eti pr 2	477.0
brūti	pr	brūti pr	306.0
dakkhati	pr	dakkhati pr	191.0
hanti	pr	hanati pr	178.0
hanati	pr	hanati pr	178.0
kubbati	pr	kubbati pr	135.0
