Pāli1	POS	Pattern	count
ta	pron	ta pron	47741.0
ima	pron	ima pron	25877.0
ya	pron	a pron	20046.0
ka	pron	ka pron	12416.0
eta	pron	ta pron	9011.0
para	pron	a pron	4161.0
katama	pron	a pron	4074.0
añña	pron	a pron	2465.0
kaci	pron	kaci pron	2429.0
sabba	pron	a pron	2150.0
ekacca	pron	a pron	1201.0
ubha	pron	ubha pron	481.0
amu	pron	amu pron	400.0
