Pāli1	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Pāli Root	Base	Construction	Sanskrit	Sk Root	Source1	Sutta1	Example1	Source 2	Sutta2	Example 2	Stem	Pattern	count	Feedback	Tag	marks
kathaṃ	ind	adv, interr	ka					how?				ka + thaṃ	katham		SN 47.14	ukkacelasuttaṃ	<b>kathañ</b>'ca, bhikkhave, bhikkhu attadīpo viharati?				-		2835.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kathaṃ&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kathaṃ	ind	adv, interr	ka					what's the reason?				ka + thaṃ	katham		MN 31	cūḷagosiṅgasuttaṃ	yathā <b>kathaṃ</b> pana tumhe, anuruddhā, samaggā sammodamānā avivadamānā khīrodakībhūtā aññam'aññaṃ piyacakkhūhi sampassantā viharathā'ti?				-		2835.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kathaṃ&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kathaṃ	ind	adv, interr	ka									ka + thaṃ	katham								-		2835.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kathaṃ&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kasmā	ind	interr, abl sg	ka					why?; lit. from what?; from where?				ka + smā	kasmāt		AN 3.70	akusalamūlasuttaṃ	<b>kasmā</b> c'āyaṃ, bhikkhave, evarūpo puggalo vuccati akālavādī'ti'pi, abhūtavādī'ti'pi, anatthavādī'ti'pi, adhammavādī'ti'pi, avinayavādī'ti'pi?				-		124.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kasmā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
ka	ind							1st item in a numerical list					ka		DN 34.2	dasuttarasuttaṃ	(<b>ka</b>) katamo eko dhammo bahukāro? appamādo kusalesu dhammesu. ayaṃ eko dhammo bahukāro.				-		4288.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=ka&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kittāvatā	ind	adv, comp, interr						in what way?; to what extent?; in what respect?				ka > ki + tāva + tā	ki + tāvatā		SN 35.85	suññatalokasuttaṃ	suñño loko, suñño loko'ti, bhante, vuccati. <b>kittāvatā</b> nu kho, bhante, suñño loko'ti vuccatī'ti?				-		169.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kittāvatā&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
kīva	ind	interr	ka					how far?; how much?				?ka + iva	kīvat		MN 70	kīṭāgirisuttaṃ	<b>kīva</b> dūr'ev'ime, bhikkhave, moghapurisā apakkantā imamhā dhammavinayā.				-		7.0	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLScNC5v2gQbBCM3giXfYIib9zrp-WMzwJuf_iVXEMX2re4BFFw/viewform?usp=pp_url&entry.438735500=kīva&entry.1433863141=Pāli Class Vocab"">Fix it here</a>."		
